문항코드,평가종류,출제단계,문항유형,감성,평가영역,정답
41,귀화용종합평가,2단계,작문형,긍정형,대한민국 국민의 기본 소양,4
42,사전평가,1단계,객관식,부정형,담화,4
43,사전평가,5단계-한국사회-기본,객관식,긍정형,담화,3
44,사전평가,1단계,객관식,부정형,말하기,1
45,사전평가,3단계,객관식,긍정형,말하기+한국문화,2
46,귀화용종합평가,1단계,객관식,해당없음,담화,3
47,사전평가,1단계,객관식,긍정형,담화,4
48,사전평가,2단계,객관식,해당없음,쓰기,4
49,귀화용종합평가,2단계,객관식,긍정형,문법,3
50,귀화용종합평가,1단계,객관식,부정형,대한민국 국민의 기본 소양,1
51,사전평가,3단계,객관식,부정형,쓰기,3
52,귀화용종합평가,2단계,객관식,긍정형,담화,3
53,사전평가,4단계,객관식,긍정형,쓰기,1
54,중간평가,4단계,객관식,해당없음,어휘,1
55,사전평가,2단계,객관식,해당없음,어휘,2
56,사전평가,2단계,객관식,부정형,말하기+한국사회,2
57,사전평가,5단계-한국사회-기본,객관식,부정형,담화,4
58,사전평가,4단계,객관식,부정형,말하기+한국문화,2
59,사전평가,4단계,객관식,해당없음,말하기+문화,4
60,사전평가,4단계,객관식,부정형,말하기+한국문화,2
61,중간평가,2단계,객관식,해당없음,문법,1
62,사전평가,1단계,객관식,해당없음,쓰기,3
63,사전평가,1단계,객관식,해당없음,어휘,4
64,사전평가,1단계,객관식,해당없음,문법,1
65,귀화용종합평가,4단계,작문형,해당없음,말하기+한국사회,3
66,사전평가,1단계,객관식,긍정형,말하기,3
67,영주용종합평가,4단계,객관식,해당없음,어휘,3
68,사전평가,2단계,객관식,부정형,어휘,3
69,귀화용종합평가,1단계,객관식,해당없음,말하기+한국문화,4
70,사전평가,1단계,단답형,긍정형,읽기,2
71,사전평가,1단계,객관식,부정형,발음,1
72,사전평가,1단계,객관식,해당없음,말하기,1
73,사전평가,1단계,객관식,긍정형,쓰기,1
74,사전평가,3단계,작문형,긍정형,문법,3
75,사전평가,1단계,객관식,해당없음,어휘,4
76,사전평가,1단계,객관식,긍정형,말하기+문화,1
77,사전평가,5단계-한국사회-심화,단답형,해당없음,말하기+문화,2
78,영주용종합평가,5단계-한국사회-기본,객관식,긍정형,대한민국 국민의 기본 소양,1
79,중간평가,2단계,객관식,부정형,문법,1
80,사전평가,1단계,객관식,부정형,읽기,2
81,사전평가,2단계,객관식,긍정형,발음,3
82,사전평가,1단계,객관식,해당없음,쓰기,2
83,귀화용종합평가,5단계-한국사회-심화,객관식,부정형,어휘,3
84,사전평가,2단계,객관식,해당없음,담화,3
85,사전평가,1단계,객관식,긍정형,문화,1
86,사전평가,2단계,객관식,해당없음,읽기,1
87,사전평가,1단계,객관식,부정형,말하기+한국사회,4
88,사전평가,1단계,구술형,부정형,문법,3
89,귀화용종합평가,3단계,작문형,부정형,발음,3
90,사전평가,2단계,객관식,해당없음,어휘,4
91,영주용종합평가,2단계,객관식,부정형,문화,2
92,중간평가,3단계,작문형,긍정형,쓰기,3
93,사전평가,2단계,객관식,긍정형,말하기+한국문화,4
94,사전평가,3단계,객관식,부정형,읽기,2
95,영주용종합평가,1단계,객관식,해당없음,대한민국 국민의 기본 소양,2
96,사전평가,4단계,객관식,부정형,담화,1
97,귀화용종합평가,5단계-한국사회-기본,객관식,긍정형,말하기,3
98,귀화용종합평가,5단계-한국사회-심화,객관식,해당없음,말하기+한국문화,4
99,사전평가,3단계,객관식,해당없음,발음,4
100,사전평가,3단계,객관식,긍정형,말하기,1
101,사전평가,1단계,구술형,해당없음,문법,1
102,중간평가,5단계-한국사회-기본,작문형,부정형,읽기,2
103,사전평가,3단계,객관식,긍정형,말하기+한국사회,1
104,사전평가,2단계,단답형,긍정형,대한민국 국민의 기본 소양,1
105,귀화용종합평가,3단계,객관식,긍정형,말하기+한국사회,4
106,중간평가,2단계,객관식,긍정형,담화,2
107,귀화용종합평가,3단계,단답형,긍정형,말하기+한국사회,2
108,사전평가,4단계,객관식,긍정형,담화,1
109,사전평가,2단계,객관식,부정형,쓰기,2
110,사전평가,2단계,작문형,부정형,발음,3
111,사전평가,2단계,객관식,해당없음,대한민국 국민의 기본 소양,3
112,사전평가,1단계,객관식,해당없음,문화,1
113,사전평가,2단계,객관식,긍정형,말하기+문화,2
114,사전평가,1단계,객관식,해당없음,문법,4
115,영주용종합평가,1단계,작문형,부정형,말하기+한국사회,2
116,사전평가,2단계,객관식,긍정형,읽기,3
117,사전평가,2단계,객관식,부정형,대한민국 국민의 기본 소양,4
118,사전평가,3단계,객관식,해당없음,말하기+한국문화,3
119,사전평가,2단계,객관식,긍정형,읽기,4
120,사전평가,5단계-한국사회-심화,객관식,부정형,말하기+한국사회,3
121,영주용종합평가,2단계,객관식,해당없음,대한민국 국민의 기본 소양,3
122,귀화용종합평가,2단계,객관식,부정형,말하기+한국문화,2
123,사전평가,5단계-한국사회-기본,단답형,긍정형,대한민국 국민의 기본 소양,1
124,중간평가,2단계,구술형,해당없음,말하기+한국문화,3
125,사전평가,4단계,객관식,해당없음,읽기,3
126,사전평가,3단계,객관식,해당없음,어휘,2
127,사전평가,1단계,구술형,긍정형,발음,4
128,사전평가,2단계,객관식,해당없음,문법,3
129,사전평가,1단계,구술형,긍정형,쓰기,1
130,사전평가,1단계,객관식,부정형,어휘,1
131,사전평가,2단계,작문형,부정형,말하기,3
132,사전평가,2단계,작문형,긍정형,쓰기,1
133,사전평가,2단계,객관식,긍정형,말하기+문화,3
134,사전평가,1단계,객관식,부정형,문화,3
135,사전평가,1단계,객관식,해당없음,말하기,2
136,사전평가,1단계,객관식,부정형,대한민국 국민의 기본 소양,2
137,사전평가,3단계,객관식,긍정형,말하기+한국문화,2
138,사전평가,2단계,객관식,해당없음,쓰기,3
139,귀화용종합평가,4단계,객관식,긍정형,말하기+한국문화,1
140,중간평가,1단계,단답형,해당없음,말하기,1
141,사전평가,1단계,객관식,해당없음,말하기+한국사회,4
142,사전평가,3단계,객관식,긍정형,읽기,2
143,사전평가,2단계,구술형,긍정형,말하기,3
144,영주용종합평가,1단계,객관식,긍정형,어휘,2
145,사전평가,4단계,구술형,긍정형,읽기,1
146,사전평가,1단계,구술형,부정형,쓰기,4
147,사전평가,2단계,구술형,긍정형,문화,3
148,사전평가,4단계,구술형,긍정형,읽기,3
149,사전평가,5단계-한국사회-심화,객관식,부정형,말하기,1
150,사전평가,2단계,객관식,해당없음,말하기,3
151,사전평가,4단계,작문형,해당없음,말하기,2
152,귀화용종합평가,1단계,객관식,긍정형,말하기+문화,1
153,사전평가,5단계-한국사회-기본,구술형,해당없음,말하기+한국사회,4
154,사전평가,3단계,객관식,해당없음,말하기+문화,2
155,사전평가,1단계,객관식,부정형,읽기,1
156,사전평가,1단계,객관식,긍정형,말하기,2
157,사전평가,3단계,구술형,긍정형,문화,2
158,중간평가,4단계,객관식,해당없음,읽기,3
159,사전평가,2단계,단답형,해당없음,말하기+한국사회,1
160,사전평가,2단계,구술형,긍정형,어휘,4
161,사전평가,1단계,객관식,부정형,어휘,4
162,사전평가,3단계,객관식,긍정형,발음,3
163,사전평가,1단계,구술형,부정형,담화,2
164,사전평가,4단계,객관식,부정형,문법,2
165,중간평가,4단계,객관식,긍정형,발음,1
166,영주용종합평가,2단계,객관식,긍정형,문법,2
167,중간평가,3단계,구술형,긍정형,어휘,4
168,영주용종합평가,1단계,작문형,긍정형,문법,4
169,사전평가,1단계,단답형,해당없음,어휘,4
170,사전평가,3단계,객관식,해당없음,읽기,2
171,영주용종합평가,2단계,객관식,긍정형,어휘,4
172,영주용종합평가,5단계-한국사회-기본,객관식,부정형,말하기+한국문화,3
173,사전평가,2단계,객관식,부정형,말하기,3
174,사전평가,2단계,객관식,해당없음,담화,3
175,중간평가,2단계,객관식,부정형,쓰기,4
176,중간평가,2단계,객관식,해당없음,말하기+문화,3
177,영주용종합평가,3단계,객관식,해당없음,발음,4
178,사전평가,4단계,객관식,긍정형,문법,1
179,귀화용종합평가,1단계,단답형,부정형,말하기+문화,2
180,사전평가,3단계,객관식,해당없음,말하기+한국사회,2
181,사전평가,1단계,객관식,해당없음,발음,1
182,중간평가,1단계,객관식,해당없음,대한민국 국민의 기본 소양,2
183,귀화용종합평가,2단계,객관식,긍정형,쓰기,1
184,사전평가,3단계,작문형,해당없음,발음,1
185,사전평가,2단계,작문형,부정형,문화,2
186,귀화용종합평가,2단계,객관식,부정형,말하기+한국사회,2
187,사전평가,3단계,객관식,해당없음,읽기,2
188,사전평가,1단계,단답형,부정형,문법,4
189,사전평가,4단계,객관식,부정형,문화,1
190,사전평가,1단계,작문형,긍정형,발음,3
191,사전평가,1단계,객관식,해당없음,읽기,4
192,사전평가,1단계,구술형,해당없음,쓰기,2
193,사전평가,5단계-한국사회-기본,객관식,긍정형,말하기+문화,4
194,귀화용종합평가,3단계,객관식,부정형,쓰기,1
195,사전평가,3단계,작문형,부정형,문화,3
196,영주용종합평가,4단계,객관식,긍정형,읽기,2
197,사전평가,3단계,구술형,긍정형,대한민국 국민의 기본 소양,3
198,중간평가,4단계,객관식,긍정형,어휘,3
199,사전평가,2단계,객관식,부정형,말하기+문화,4
200,중간평가,3단계,객관식,긍정형,어휘,1
201,사전평가,1단계,객관식,긍정형,문법,1
202,사전평가,1단계,구술형,부정형,대한민국 국민의 기본 소양,1
203,사전평가,1단계,객관식,긍정형,대한민국 국민의 기본 소양,1
204,영주용종합평가,5단계-한국사회-심화,객관식,긍정형,말하기+문화,3
205,영주용종합평가,2단계,객관식,긍정형,대한민국 국민의 기본 소양,3
206,영주용종합평가,2단계,객관식,긍정형,담화,4
207,중간평가,4단계,객관식,긍정형,문화,2
208,사전평가,1단계,객관식,긍정형,말하기+한국문화,1
209,사전평가,3단계,객관식,부정형,문화,1
210,사전평가,3단계,객관식,부정형,말하기+한국문화,4
211,사전평가,4단계,객관식,긍정형,말하기+한국사회,4
212,사전평가,2단계,단답형,해당없음,말하기,3
213,귀화용종합평가,1단계,객관식,해당없음,문화,2
214,귀화용종합평가,1단계,객관식,긍정형,문법,1
215,영주용종합평가,2단계,객관식,부정형,말하기,1
216,사전평가,3단계,구술형,해당없음,대한민국 국민의 기본 소양,4
217,사전평가,1단계,단답형,해당없음,담화,1
218,중간평가,2단계,객관식,해당없음,어휘,4
219,귀화용종합평가,5단계-한국사회-심화,객관식,해당없음,쓰기,4
220,사전평가,4단계,객관식,부정형,문법,2
221,사전평가,2단계,객관식,긍정형,말하기+문화,3
222,영주용종합평가,3단계,작문형,부정형,대한민국 국민의 기본 소양,1
223,사전평가,3단계,구술형,부정형,어휘,1
224,사전평가,1단계,객관식,부정형,대한민국 국민의 기본 소양,1
225,영주용종합평가,1단계,객관식,해당없음,말하기,1
226,사전평가,3단계,객관식,긍정형,말하기+한국문화,2
227,사전평가,4단계,구술형,부정형,발음,4
228,중간평가,5단계-한국사회-기본,작문형,부정형,말하기+한국사회,4
229,사전평가,1단계,작문형,해당없음,말하기+한국문화,4
230,귀화용종합평가,4단계,구술형,긍정형,문법,2
231,사전평가,3단계,객관식,부정형,말하기+한국문화,1
232,사전평가,3단계,구술형,해당없음,읽기,1
233,귀화용종합평가,2단계,객관식,부정형,쓰기,2
234,사전평가,1단계,객관식,부정형,문법,1
235,사전평가,1단계,객관식,부정형,문법,3
236,중간평가,3단계,객관식,부정형,문화,2
237,사전평가,1단계,객관식,긍정형,문법,4
238,사전평가,1단계,객관식,부정형,문화,4
239,사전평가,5단계-한국사회-심화,단답형,긍정형,말하기+문화,3
240,사전평가,3단계,객관식,해당없음,말하기+문화,4
241,영주용종합평가,4단계,구술형,부정형,쓰기,2
242,사전평가,2단계,객관식,긍정형,문화,4
243,사전평가,2단계,단답형,해당없음,말하기+한국사회,3
244,사전평가,1단계,객관식,부정형,발음,4
245,사전평가,3단계,객관식,부정형,발음,3
246,귀화용종합평가,3단계,객관식,긍정형,대한민국 국민의 기본 소양,1
247,중간평가,3단계,객관식,부정형,대한민국 국민의 기본 소양,3
248,사전평가,2단계,구술형,긍정형,발음,2
249,귀화용종합평가,5단계-한국사회-심화,객관식,해당없음,문법,4
250,사전평가,5단계-한국사회-심화,객관식,긍정형,말하기+한국사회,1
251,사전평가,4단계,구술형,긍정형,문법,3
252,중간평가,1단계,객관식,부정형,읽기,2
253,귀화용종합평가,1단계,객관식,부정형,문화,1
254,사전평가,1단계,객관식,부정형,문화,4
255,중간평가,1단계,객관식,긍정형,문화,4
256,사전평가,1단계,객관식,부정형,문법,2
257,사전평가,1단계,객관식,해당없음,문화,2
258,사전평가,4단계,객관식,부정형,말하기,2
259,사전평가,3단계,객관식,부정형,문법,3
260,사전평가,4단계,구술형,부정형,말하기+한국사회,1
261,사전평가,1단계,객관식,부정형,문법,1
262,사전평가,1단계,객관식,해당없음,담화,2
263,사전평가,4단계,객관식,긍정형,말하기,2
264,사전평가,4단계,객관식,긍정형,담화,2
265,사전평가,2단계,객관식,부정형,문화,1
266,사전평가,3단계,작문형,해당없음,말하기+한국문화,2
267,사전평가,2단계,구술형,긍정형,문화,4
268,귀화용종합평가,3단계,객관식,부정형,읽기,3
269,사전평가,1단계,객관식,해당없음,말하기+한국사회,2
270,사전평가,1단계,객관식,부정형,말하기+문화,3
271,영주용종합평가,1단계,객관식,부정형,쓰기,4
272,사전평가,2단계,객관식,긍정형,담화,4
273,사전평가,2단계,객관식,해당없음,말하기,1
274,사전평가,1단계,작문형,부정형,읽기,4
275,사전평가,3단계,객관식,해당없음,발음,2
276,사전평가,2단계,작문형,부정형,문법,2
277,사전평가,4단계,구술형,해당없음,문법,4
278,사전평가,5단계-한국사회-심화,객관식,긍정형,읽기,3
279,중간평가,3단계,객관식,부정형,문법,2
280,사전평가,2단계,구술형,긍정형,대한민국 국민의 기본 소양,2
281,중간평가,2단계,객관식,해당없음,문화,3
282,사전평가,3단계,객관식,긍정형,담화,3
283,귀화용종합평가,5단계-한국사회-기본,작문형,긍정형,담화,1
284,귀화용종합평가,3단계,구술형,긍정형,발음,1
285,사전평가,2단계,객관식,부정형,담화,2
286,사전평가,3단계,객관식,부정형,문법,3
287,사전평가,2단계,객관식,부정형,읽기,1
288,사전평가,5단계-한국사회-심화,객관식,부정형,쓰기,3
289,영주용종합평가,1단계,객관식,긍정형,말하기+한국문화,1
290,사전평가,2단계,객관식,해당없음,말하기+문화,3
291,중간평가,2단계,단답형,긍정형,말하기+한국사회,4
292,사전평가,3단계,객관식,긍정형,대한민국 국민의 기본 소양,1
293,사전평가,2단계,객관식,부정형,말하기+한국문화,2
294,귀화용종합평가,2단계,작문형,긍정형,읽기,4
295,사전평가,2단계,작문형,부정형,발음,1
296,사전평가,3단계,객관식,긍정형,말하기+문화,2
297,영주용종합평가,4단계,단답형,부정형,말하기+문화,2
298,중간평가,5단계-한국사회-심화,작문형,부정형,읽기,3
299,중간평가,2단계,객관식,부정형,어휘,2
300,사전평가,3단계,단답형,해당없음,어휘,1
301,사전평가,1단계,객관식,긍정형,담화,2
302,사전평가,2단계,객관식,긍정형,쓰기,3
303,사전평가,4단계,구술형,부정형,담화,1
304,사전평가,3단계,객관식,해당없음,말하기+문화,2
305,사전평가,5단계-한국사회-심화,구술형,부정형,문화,1
306,사전평가,2단계,단답형,해당없음,말하기+한국사회,2
307,영주용종합평가,5단계-한국사회-기본,객관식,해당없음,담화,1
308,귀화용종합평가,3단계,객관식,해당없음,말하기+한국문화,4
309,사전평가,5단계-한국사회-심화,작문형,부정형,말하기+한국사회,1
310,귀화용종합평가,3단계,객관식,부정형,말하기+문화,1
311,중간평가,1단계,객관식,부정형,말하기+한국사회,3
312,사전평가,1단계,객관식,해당없음,쓰기,2
313,사전평가,4단계,객관식,부정형,말하기+한국사회,3
314,중간평가,2단계,객관식,긍정형,대한민국 국민의 기본 소양,2
315,사전평가,1단계,객관식,해당없음,말하기+한국문화,1
316,중간평가,3단계,객관식,부정형,읽기,3
317,사전평가,1단계,객관식,해당없음,말하기,2
318,영주용종합평가,2단계,객관식,부정형,말하기+문화,4
319,사전평가,2단계,객관식,해당없음,담화,4
320,사전평가,3단계,객관식,해당없음,대한민국 국민의 기본 소양,4
321,사전평가,2단계,작문형,부정형,쓰기,1
322,영주용종합평가,3단계,객관식,긍정형,문법,4
323,사전평가,1단계,작문형,긍정형,문법,4
324,사전평가,3단계,작문형,긍정형,쓰기,4
325,영주용종합평가,3단계,객관식,해당없음,읽기,2
326,귀화용종합평가,5단계-한국사회-심화,객관식,긍정형,읽기,1
327,영주용종합평가,2단계,단답형,해당없음,읽기,4
328,사전평가,3단계,객관식,해당없음,읽기,1
329,사전평가,2단계,단답형,긍정형,발음,3
330,사전평가,1단계,객관식,부정형,말하기+한국문화,4
331,사전평가,3단계,단답형,부정형,발음,3
332,영주용종합평가,3단계,객관식,부정형,읽기,2
333,사전평가,4단계,작문형,긍정형,말하기+한국문화,4
334,사전평가,1단계,객관식,부정형,어휘,1
335,사전평가,1단계,객관식,부정형,문화,1
336,영주용종합평가,4단계,단답형,부정형,대한민국 국민의 기본 소양,3
337,영주용종합평가,2단계,객관식,해당없음,말하기+문화,3
338,사전평가,1단계,작문형,부정형,문법,4
339,사전평가,1단계,객관식,해당없음,말하기+한국문화,1
340,사전평가,2단계,객관식,부정형,읽기,1
341,사전평가,1단계,객관식,해당없음,말하기+문화,3
342,귀화용종합평가,5단계-한국사회-심화,단답형,긍정형,대한민국 국민의 기본 소양,3
343,귀화용종합평가,5단계-한국사회-기본,작문형,해당없음,발음,3
344,사전평가,1단계,작문형,긍정형,말하기+문화,1
345,귀화용종합평가,1단계,객관식,긍정형,문화,3
346,귀화용종합평가,3단계,객관식,부정형,읽기,2
347,사전평가,5단계-한국사회-심화,객관식,부정형,어휘,1
348,사전평가,1단계,단답형,부정형,말하기+한국문화,3
349,사전평가,4단계,객관식,긍정형,발음,3
350,사전평가,1단계,객관식,해당없음,말하기+한국사회,3
351,사전평가,5단계-한국사회-심화,객관식,긍정형,쓰기,1
352,귀화용종합평가,2단계,구술형,부정형,문법,2
353,사전평가,3단계,객관식,해당없음,말하기+한국문화,1
354,사전평가,5단계-한국사회-기본,객관식,긍정형,어휘,2
355,사전평가,1단계,단답형,긍정형,말하기+문화,1
356,중간평가,1단계,작문형,부정형,읽기,4
357,사전평가,2단계,객관식,부정형,쓰기,4
358,사전평가,5단계-한국사회-심화,객관식,해당없음,문법,4
359,사전평가,4단계,구술형,부정형,말하기+한국사회,4
360,중간평가,3단계,객관식,해당없음,읽기,2
361,영주용종합평가,2단계,객관식,해당없음,문법,4
362,사전평가,2단계,구술형,해당없음,문법,2
363,사전평가,3단계,객관식,해당없음,문화,3
364,사전평가,3단계,객관식,부정형,말하기,4
365,사전평가,1단계,객관식,긍정형,말하기+문화,4
366,사전평가,2단계,객관식,부정형,읽기,3
367,사전평가,1단계,객관식,긍정형,말하기+한국사회,4
368,사전평가,4단계,객관식,부정형,말하기+한국사회,4
369,사전평가,1단계,객관식,부정형,담화,1
370,사전평가,2단계,객관식,긍정형,문법,1
371,사전평가,1단계,객관식,부정형,읽기,4
372,영주용종합평가,4단계,작문형,부정형,말하기+문화,2
373,사전평가,2단계,객관식,해당없음,문법,4
374,사전평가,1단계,객관식,긍정형,말하기+문화,2
375,귀화용종합평가,5단계-한국사회-심화,구술형,부정형,발음,4
376,사전평가,1단계,객관식,부정형,말하기+한국문화,2
377,사전평가,2단계,단답형,부정형,문화,3
378,사전평가,3단계,객관식,부정형,말하기,3
379,중간평가,1단계,객관식,해당없음,문법,3
380,사전평가,1단계,단답형,부정형,쓰기,3
381,사전평가,2단계,객관식,긍정형,어휘,1
382,귀화용종합평가,3단계,객관식,해당없음,발음,1
383,영주용종합평가,5단계-한국사회-기본,작문형,부정형,말하기,4
384,귀화용종합평가,3단계,구술형,해당없음,어휘,1
385,영주용종합평가,2단계,객관식,긍정형,쓰기,3
386,사전평가,1단계,단답형,부정형,문화,4
387,사전평가,1단계,객관식,긍정형,어휘,1
388,사전평가,2단계,객관식,해당없음,말하기+한국사회,1
389,사전평가,3단계,객관식,해당없음,어휘,2
390,사전평가,3단계,객관식,해당없음,발음,1
391,사전평가,1단계,단답형,긍정형,문화,4
392,중간평가,3단계,객관식,부정형,말하기+문화,1
393,중간평가,2단계,작문형,부정형,대한민국 국민의 기본 소양,4
394,사전평가,3단계,객관식,긍정형,말하기+한국사회,4
395,사전평가,5단계-한국사회-기본,객관식,해당없음,대한민국 국민의 기본 소양,3
396,영주용종합평가,3단계,객관식,해당없음,발음,2
397,사전평가,1단계,객관식,부정형,담화,1
398,중간평가,2단계,객관식,긍정형,읽기,4
399,사전평가,2단계,객관식,긍정형,어휘,2
400,영주용종합평가,3단계,객관식,부정형,읽기,2
401,사전평가,1단계,객관식,해당없음,발음,4
402,사전평가,2단계,구술형,부정형,말하기+문화,1
403,사전평가,2단계,객관식,부정형,문화,4
404,사전평가,1단계,객관식,해당없음,말하기+한국사회,4
405,영주용종합평가,5단계-한국사회-심화,객관식,해당없음,말하기+한국사회,1
406,사전평가,2단계,객관식,해당없음,담화,2
407,사전평가,5단계-한국사회-기본,객관식,해당없음,문화,4
408,사전평가,5단계-한국사회-기본,객관식,해당없음,어휘,2
409,사전평가,1단계,객관식,부정형,어휘,3
410,사전평가,1단계,객관식,해당없음,읽기,2
411,귀화용종합평가,1단계,작문형,부정형,말하기+문화,4
412,사전평가,3단계,객관식,해당없음,문법,3
413,사전평가,2단계,객관식,긍정형,대한민국 국민의 기본 소양,2
414,사전평가,1단계,객관식,해당없음,담화,3
415,귀화용종합평가,1단계,객관식,해당없음,말하기+한국사회,4
416,귀화용종합평가,3단계,객관식,긍정형,쓰기,2
417,사전평가,2단계,구술형,해당없음,말하기+문화,1
418,사전평가,1단계,객관식,긍정형,쓰기,3
419,사전평가,5단계-한국사회-심화,객관식,해당없음,쓰기,2
420,사전평가,2단계,객관식,해당없음,말하기,3
421,사전평가,2단계,단답형,해당없음,읽기,3
422,사전평가,3단계,객관식,해당없음,말하기,2
423,영주용종합평가,1단계,객관식,긍정형,담화,3
424,사전평가,3단계,객관식,해당없음,담화,1
425,사전평가,1단계,객관식,부정형,말하기+문화,4
426,사전평가,2단계,구술형,해당없음,대한민국 국민의 기본 소양,1
427,중간평가,5단계-한국사회-기본,단답형,해당없음,어휘,1
428,사전평가,5단계-한국사회-심화,객관식,부정형,쓰기,1
429,중간평가,4단계,객관식,부정형,발음,2
430,사전평가,2단계,단답형,해당없음,담화,4
431,사전평가,1단계,객관식,부정형,읽기,1
432,사전평가,1단계,객관식,긍정형,문화,4
433,귀화용종합평가,5단계-한국사회-기본,객관식,해당없음,말하기,4
434,귀화용종합평가,2단계,객관식,긍정형,문법,1
435,사전평가,2단계,구술형,해당없음,말하기+한국문화,3
436,사전평가,2단계,객관식,긍정형,말하기,2
437,영주용종합평가,2단계,구술형,긍정형,어휘,4
438,귀화용종합평가,1단계,객관식,부정형,말하기,4
439,영주용종합평가,2단계,객관식,긍정형,문화,2
440,귀화용종합평가,3단계,객관식,해당없음,대한민국 국민의 기본 소양,1
441,영주용종합평가,4단계,구술형,긍정형,어휘,4
442,사전평가,2단계,작문형,부정형,읽기,2
443,사전평가,1단계,객관식,긍정형,문화,2
444,영주용종합평가,2단계,객관식,긍정형,담화,2
445,중간평가,3단계,구술형,해당없음,말하기+한국문화,2
446,사전평가,2단계,객관식,긍정형,말하기,1
447,사전평가,2단계,단답형,해당없음,읽기,3
448,사전평가,2단계,구술형,해당없음,쓰기,1
449,중간평가,2단계,객관식,긍정형,어휘,4
450,중간평가,5단계-한국사회-기본,객관식,해당없음,문법,4
451,사전평가,3단계,구술형,해당없음,말하기+문화,3
452,사전평가,3단계,객관식,해당없음,말하기+한국문화,4
453,사전평가,3단계,객관식,부정형,어휘,3
454,사전평가,5단계-한국사회-심화,단답형,긍정형,말하기+문화,3
455,영주용종합평가,1단계,구술형,부정형,문화,1
456,귀화용종합평가,3단계,구술형,긍정형,쓰기,4
457,사전평가,3단계,작문형,긍정형,읽기,4
458,사전평가,4단계,객관식,해당없음,말하기,4
459,사전평가,2단계,객관식,부정형,어휘,1
460,사전평가,3단계,객관식,부정형,대한민국 국민의 기본 소양,2
461,사전평가,1단계,객관식,부정형,발음,2
462,영주용종합평가,5단계-한국사회-기본,객관식,해당없음,어휘,4
463,귀화용종합평가,1단계,객관식,긍정형,말하기,4
464,사전평가,1단계,객관식,긍정형,문법,2
465,사전평가,2단계,객관식,부정형,문법,3
466,사전평가,3단계,구술형,긍정형,말하기+문화,4
467,사전평가,5단계-한국사회-기본,객관식,긍정형,말하기+한국문화,3
468,사전평가,1단계,객관식,부정형,말하기+한국문화,1
469,사전평가,2단계,객관식,해당없음,말하기+문화,4
470,사전평가,1단계,단답형,해당없음,문법,2
471,사전평가,2단계,객관식,부정형,대한민국 국민의 기본 소양,3
472,사전평가,3단계,작문형,해당없음,문화,2
473,사전평가,4단계,객관식,긍정형,말하기+한국사회,1
474,영주용종합평가,2단계,객관식,해당없음,어휘,1
475,사전평가,2단계,객관식,해당없음,문화,2
476,사전평가,1단계,구술형,해당없음,어휘,4
477,중간평가,2단계,작문형,해당없음,말하기+문화,3
478,사전평가,3단계,객관식,해당없음,문화,3
479,중간평가,3단계,객관식,부정형,담화,4
480,사전평가,2단계,객관식,부정형,말하기+한국사회,4
481,사전평가,1단계,객관식,긍정형,말하기+한국문화,4
482,사전평가,3단계,객관식,부정형,담화,1
