문항코드,평가종류,출제단계,문항유형,감성,평가영역,정답
277,사전평가,5단계-한국사회-기본,객관식,부정형,대한민국 국민의 기본 소양,2
278,사전평가,3단계,단답형,긍정형,말하기+한국사회,1
279,사전평가,1단계,작문형,해당없음,어휘,2
280,사전평가,5단계-한국사회-심화,객관식,해당없음,발음,3
281,귀화용종합평가,3단계,객관식,해당없음,담화,1
282,사전평가,3단계,작문형,해당없음,말하기,4
283,사전평가,3단계,작문형,긍정형,쓰기,3
284,중간평가,1단계,객관식,긍정형,문법,2
285,사전평가,5단계-한국사회-기본,객관식,긍정형,문화,1
286,사전평가,1단계,구술형,부정형,대한민국 국민의 기본 소양,2
287,사전평가,2단계,객관식,해당없음,말하기+한국사회,4
288,사전평가,3단계,단답형,해당없음,쓰기,3
289,중간평가,2단계,단답형,해당없음,말하기+한국문화,4
290,사전평가,2단계,구술형,부정형,대한민국 국민의 기본 소양,4
291,사전평가,3단계,객관식,해당없음,쓰기,2
292,중간평가,1단계,객관식,해당없음,담화,3
293,중간평가,1단계,객관식,해당없음,읽기,1
294,사전평가,1단계,객관식,긍정형,문화,1
295,사전평가,2단계,객관식,긍정형,대한민국 국민의 기본 소양,3
296,사전평가,4단계,객관식,부정형,말하기+문화,4
297,사전평가,1단계,객관식,해당없음,쓰기,4
298,사전평가,3단계,객관식,해당없음,말하기+한국사회,4
299,사전평가,4단계,구술형,부정형,말하기,4
300,중간평가,2단계,객관식,부정형,읽기,3
301,사전평가,1단계,단답형,해당없음,문화,1
302,사전평가,3단계,객관식,부정형,읽기,3
303,중간평가,5단계-한국사회-기본,객관식,긍정형,발음,2
304,사전평가,1단계,객관식,긍정형,읽기,1
305,사전평가,5단계-한국사회-심화,객관식,긍정형,말하기+문화,2
306,영주용종합평가,1단계,객관식,부정형,담화,1
307,사전평가,1단계,객관식,해당없음,말하기,2
308,사전평가,1단계,객관식,긍정형,담화,1
309,사전평가,4단계,객관식,해당없음,발음,4
310,사전평가,2단계,객관식,긍정형,발음,3
311,중간평가,1단계,객관식,긍정형,대한민국 국민의 기본 소양,1
312,사전평가,3단계,객관식,해당없음,읽기,1
313,사전평가,4단계,작문형,해당없음,말하기+문화,2
314,사전평가,2단계,작문형,긍정형,문법,2
315,사전평가,3단계,객관식,긍정형,발음,4
316,사전평가,1단계,구술형,부정형,어휘,2
317,사전평가,3단계,객관식,부정형,발음,3
318,사전평가,3단계,객관식,해당없음,어휘,2
319,사전평가,2단계,객관식,부정형,어휘,1
320,사전평가,2단계,객관식,부정형,발음,3
321,중간평가,2단계,객관식,긍정형,어휘,1
322,중간평가,2단계,객관식,부정형,어휘,4
323,사전평가,1단계,객관식,해당없음,대한민국 국민의 기본 소양,4
324,영주용종합평가,1단계,객관식,긍정형,대한민국 국민의 기본 소양,3
325,사전평가,2단계,객관식,해당없음,말하기+한국문화,3
326,귀화용종합평가,2단계,객관식,부정형,어휘,1
327,사전평가,2단계,단답형,긍정형,문화,3
328,사전평가,5단계-한국사회-기본,객관식,부정형,어휘,3
329,귀화용종합평가,2단계,객관식,긍정형,말하기+한국사회,2
330,사전평가,1단계,작문형,해당없음,읽기,4
331,사전평가,1단계,단답형,해당없음,쓰기,1
332,사전평가,2단계,단답형,긍정형,발음,1
333,사전평가,1단계,객관식,부정형,읽기,1
334,중간평가,4단계,객관식,해당없음,말하기+문화,3
335,영주용종합평가,4단계,객관식,긍정형,말하기+문화,2
336,사전평가,2단계,객관식,부정형,말하기+한국사회,4
337,사전평가,2단계,단답형,해당없음,말하기,3
338,사전평가,3단계,객관식,해당없음,문화,2
339,영주용종합평가,1단계,객관식,해당없음,어휘,2
340,사전평가,2단계,객관식,부정형,담화,4
341,사전평가,3단계,객관식,해당없음,읽기,1
342,사전평가,1단계,객관식,긍정형,발음,1
343,귀화용종합평가,2단계,객관식,부정형,말하기+한국문화,1
344,사전평가,2단계,객관식,해당없음,말하기+문화,3
345,귀화용종합평가,1단계,객관식,부정형,문법,3
346,사전평가,3단계,작문형,부정형,말하기+한국문화,1
347,사전평가,3단계,작문형,부정형,말하기+문화,2
348,사전평가,1단계,객관식,긍정형,말하기+한국사회,3
349,사전평가,5단계-한국사회-기본,객관식,부정형,말하기+문화,4
350,사전평가,2단계,객관식,해당없음,발음,1
351,사전평가,2단계,객관식,해당없음,문화,4
352,사전평가,2단계,객관식,해당없음,쓰기,1
353,사전평가,2단계,객관식,긍정형,어휘,3
354,중간평가,2단계,작문형,해당없음,말하기+문화,3
355,영주용종합평가,3단계,작문형,긍정형,말하기+한국문화,4
356,사전평가,2단계,객관식,부정형,말하기+문화,2
357,사전평가,3단계,객관식,긍정형,말하기+한국문화,2
358,영주용종합평가,2단계,객관식,해당없음,어휘,4
359,사전평가,3단계,객관식,부정형,어휘,4
360,사전평가,2단계,작문형,부정형,문법,2
361,영주용종합평가,1단계,객관식,긍정형,읽기,1
362,사전평가,5단계-한국사회-기본,객관식,긍정형,말하기+한국문화,1
363,귀화용종합평가,1단계,객관식,해당없음,말하기+한국사회,1
364,사전평가,1단계,단답형,부정형,담화,4
365,사전평가,3단계,객관식,부정형,읽기,1
366,영주용종합평가,2단계,객관식,긍정형,말하기+문화,1
367,사전평가,3단계,작문형,해당없음,쓰기,1
368,사전평가,1단계,객관식,해당없음,대한민국 국민의 기본 소양,4
369,귀화용종합평가,1단계,객관식,긍정형,말하기+한국사회,3
370,사전평가,1단계,객관식,해당없음,발음,1
371,중간평가,1단계,객관식,긍정형,말하기+문화,3
372,사전평가,2단계,객관식,긍정형,읽기,2
373,사전평가,2단계,작문형,해당없음,말하기+한국문화,1
374,사전평가,3단계,객관식,해당없음,말하기+한국사회,1
375,사전평가,1단계,객관식,부정형,읽기,3
376,사전평가,5단계-한국사회-심화,단답형,해당없음,말하기+한국문화,3
377,사전평가,4단계,구술형,부정형,문법,3
378,사전평가,2단계,객관식,부정형,문화,3
379,사전평가,4단계,객관식,부정형,쓰기,4
380,귀화용종합평가,1단계,객관식,부정형,문법,3
381,사전평가,3단계,단답형,긍정형,대한민국 국민의 기본 소양,3
382,사전평가,4단계,작문형,부정형,문화,1
383,사전평가,1단계,객관식,긍정형,발음,4
384,사전평가,3단계,객관식,해당없음,말하기+한국문화,1
385,사전평가,3단계,구술형,부정형,읽기,1
386,사전평가,1단계,단답형,해당없음,담화,2
387,사전평가,4단계,객관식,긍정형,대한민국 국민의 기본 소양,3
388,사전평가,5단계-한국사회-심화,단답형,부정형,발음,3
389,사전평가,2단계,구술형,해당없음,말하기+한국사회,1
390,사전평가,3단계,구술형,부정형,어휘,1
391,영주용종합평가,1단계,객관식,부정형,말하기,4
392,사전평가,2단계,단답형,부정형,말하기,4
393,사전평가,3단계,객관식,긍정형,어휘,4
394,사전평가,5단계-한국사회-심화,객관식,해당없음,어휘,1
395,사전평가,2단계,작문형,긍정형,말하기+한국사회,2
396,사전평가,2단계,객관식,부정형,말하기+한국사회,2
397,귀화용종합평가,1단계,객관식,긍정형,문법,2
398,사전평가,3단계,작문형,해당없음,담화,3
399,귀화용종합평가,2단계,단답형,부정형,쓰기,2
400,사전평가,3단계,객관식,부정형,말하기,3
401,사전평가,5단계-한국사회-심화,단답형,해당없음,문화,3
402,사전평가,1단계,객관식,부정형,발음,1
403,사전평가,4단계,객관식,긍정형,어휘,4
404,사전평가,3단계,작문형,긍정형,말하기,1
405,사전평가,3단계,객관식,부정형,문화,1
406,사전평가,3단계,객관식,긍정형,말하기+문화,3
407,사전평가,2단계,작문형,부정형,말하기,3
408,사전평가,3단계,객관식,긍정형,말하기,1
409,사전평가,2단계,구술형,긍정형,말하기,1
410,사전평가,4단계,객관식,부정형,문화,2
411,귀화용종합평가,5단계-한국사회-기본,객관식,해당없음,문법,2
412,사전평가,3단계,객관식,해당없음,담화,1
413,사전평가,4단계,객관식,부정형,말하기,4
414,사전평가,3단계,객관식,부정형,쓰기,4
415,귀화용종합평가,1단계,객관식,긍정형,문화,3
416,사전평가,3단계,객관식,해당없음,대한민국 국민의 기본 소양,3
417,사전평가,1단계,객관식,해당없음,문법,1
418,사전평가,2단계,객관식,해당없음,대한민국 국민의 기본 소양,2
419,귀화용종합평가,2단계,객관식,긍정형,말하기+한국사회,3
420,사전평가,1단계,단답형,해당없음,쓰기,1
421,사전평가,1단계,객관식,해당없음,담화,2
422,사전평가,2단계,작문형,해당없음,말하기+한국문화,4
423,사전평가,3단계,객관식,해당없음,말하기+문화,4
424,사전평가,5단계-한국사회-심화,객관식,해당없음,대한민국 국민의 기본 소양,3
425,사전평가,2단계,객관식,해당없음,말하기+한국문화,2
426,사전평가,2단계,객관식,부정형,말하기,2
427,사전평가,1단계,객관식,부정형,대한민국 국민의 기본 소양,3
428,사전평가,3단계,구술형,부정형,대한민국 국민의 기본 소양,2
429,영주용종합평가,1단계,객관식,해당없음,담화,4
430,사전평가,1단계,객관식,긍정형,발음,4
431,사전평가,1단계,객관식,부정형,문법,2
432,중간평가,1단계,객관식,해당없음,말하기+문화,3
433,사전평가,2단계,객관식,긍정형,말하기+한국문화,2
434,사전평가,2단계,객관식,해당없음,쓰기,3
435,사전평가,1단계,구술형,긍정형,담화,2
436,사전평가,3단계,객관식,부정형,말하기+한국사회,1
437,사전평가,2단계,객관식,부정형,읽기,1
438,사전평가,4단계,객관식,긍정형,담화,4
439,영주용종합평가,5단계-한국사회-심화,객관식,긍정형,문화,4
440,사전평가,1단계,객관식,해당없음,문법,1
441,사전평가,1단계,작문형,해당없음,대한민국 국민의 기본 소양,4
442,사전평가,2단계,객관식,긍정형,어휘,4
443,사전평가,1단계,구술형,해당없음,읽기,4
444,사전평가,2단계,객관식,해당없음,대한민국 국민의 기본 소양,1
445,사전평가,4단계,구술형,긍정형,말하기+문화,2
446,사전평가,3단계,구술형,긍정형,담화,3
447,사전평가,2단계,객관식,해당없음,쓰기,4
448,사전평가,1단계,구술형,긍정형,말하기+한국사회,1
449,사전평가,5단계-한국사회-심화,객관식,해당없음,대한민국 국민의 기본 소양,1
450,사전평가,2단계,객관식,해당없음,말하기+한국사회,2
451,사전평가,3단계,객관식,부정형,말하기+한국문화,1
452,사전평가,1단계,객관식,해당없음,말하기+한국사회,3
453,귀화용종합평가,2단계,객관식,긍정형,문법,1
454,사전평가,5단계-한국사회-기본,객관식,해당없음,발음,4
455,사전평가,1단계,단답형,해당없음,문법,4
456,귀화용종합평가,5단계-한국사회-심화,객관식,해당없음,쓰기,1
457,귀화용종합평가,2단계,구술형,긍정형,대한민국 국민의 기본 소양,4
458,사전평가,3단계,객관식,해당없음,말하기+한국사회,4
459,사전평가,4단계,작문형,긍정형,대한민국 국민의 기본 소양,3
460,사전평가,2단계,객관식,긍정형,발음,2
461,영주용종합평가,1단계,객관식,해당없음,문화,4
462,사전평가,1단계,객관식,부정형,문법,1
463,사전평가,3단계,객관식,긍정형,말하기,2
464,사전평가,2단계,객관식,부정형,문법,2
465,영주용종합평가,1단계,객관식,해당없음,말하기,3
466,사전평가,2단계,객관식,해당없음,대한민국 국민의 기본 소양,1
467,사전평가,5단계-한국사회-기본,단답형,부정형,말하기+한국사회,1
468,영주용종합평가,1단계,객관식,해당없음,말하기+문화,4
469,영주용종합평가,3단계,객관식,해당없음,말하기+한국사회,1
470,사전평가,3단계,객관식,해당없음,담화,3
471,사전평가,3단계,객관식,해당없음,쓰기,3
472,사전평가,1단계,객관식,부정형,문법,2
473,사전평가,2단계,단답형,부정형,읽기,2
474,사전평가,2단계,객관식,부정형,말하기,1
475,귀화용종합평가,4단계,구술형,부정형,읽기,2
476,사전평가,2단계,단답형,긍정형,어휘,1
477,귀화용종합평가,5단계-한국사회-기본,구술형,긍정형,문화,4
